id,nome,marca,modelo,os,device_date,barcode,estoque,preço,preço_mercado,data,credit_card,code,moeda
296,Brock Edgson,ZTE,ZTE Warp,Android 2.3,2011,53808-0910,"Becton, Dickinson and Company",$6.22,n/a,8/15/2022,4508372991793334,CNY,Yuan Renminbi
297,Clemente Callaby,Icemobile,Icemobile Prime 4.0,Android 4.2.2,2014,0338-0351,"The Bancorp, Inc.",$5.18,$400.41M,6/1/2021,3574546587953573,CZK,Koruna
298,Angelico Jarry,Samsung,Samsung Galaxy M40,"Android 9.0, up to Android 11, One UI 3.1",2019,60429-262,Oasmia Pharmaceutical AB,$2.24,$38.24M,12/9/2023,6304101554464772,RUB,Ruble
299,Aleece Ander,Infinix,Infinix Hot 5 Lite,Android 7.0,2017,10191-1461,RPM International Inc.,$7.72,$7.43B,12/15/2021,3546638101734806,CZK,Koruna
300,Darlene Durnan,Nokia,Nokia 7370,Feature phone,2005,0591-3206,"Sigma Labs, Inc.",$0.84,$11.29M,10/19/2023,56022243841046651,VND,Dong
301,Remy Eisold,Nokia,Nokia 100,Feature phone,2011,49288-0359,Transportadora De Gas Sa Ord B,$1.70,$2.53B,3/8/2020,56103028968382878,CNY,Yuan Renminbi
302,Easter Glasser,Motorola,Motorola V180,Feature phone,2004,49349-438,"Colony NorthStar, Inc.",$4.47,n/a,6/30/2022,3571869826363948,PLN,Zloty
303,Jessi Greenrde,Sharp,Sharp 923SH,Feature phone,2008,68788-9924,Bank Of New York Mellon Corporation (The),$8.43,$51.88B,7/2/2022,3574804510073518,ZAR,Rand
304,Kristos McGauhy,Asus,Asus P525,Microsoft Windows Mobile 5.0 PocketPC,2006,41520-605,"Novan, Inc.",$3.16,$62.92M,2/27/2023,3544111500597630,CNY,Yuan Renminbi
305,Randy Grunbaum,Energizer,Energizer Energy E12,Feature phone,2019,65517-2018,"Uranium Resources, Inc.",$4.43,$34.59M,12/9/2022,6334661603272403757,PHP,Peso
306,Annnora Dorney,Samsung,Samsung Continuum I400,"Android 2.1, up to 2.2",2010,36987-1525,Baxter International Inc.,$4.30,$31.49B,1/20/2021,3582773787547548,EUR,Euro
307,Mac Cardon,i-mate,i-mate SP3i,Microsoft Windows Mobile 2003 SE Smartphone,2004,42254-093,Canadian Imperial Bank of Commerce,$5.77,$32.39B,3/27/2022,3582014060631554,BDT,Taka
308,Haily Gagin,LG,LG Fathom VS750,Microsoft Windows Mobile 6.5 Professional,2010,54102-000,"J.C. Penney Company, Inc. Holding Company",$8.28,$1.56B,12/27/2021,3574502960588023,NGN,Naira
309,Rebekah Scholey,QMobile,QMobile Noir X400,Android 4.4.2,2014,56062-337,Nicolet Bankshares Inc.,$3.84,$479.19M,8/13/2022,3568426211934885,EUR,Euro
310,Randi Meddick,Samsung,Samsung Galaxy S21+ 5G,"Android 11, One UI 3.1",2021,46122-166,United Therapeutics Corporation,$6.57,$5.85B,4/20/2021,201775117446371,MYR,Ringgit
311,Lawton Keddie,Celkon,Celkon C360,Feature phone,2012,49873-018,Leju Holdings Limited,$3.30,$346.48M,3/27/2023,3530948160815745,BRL,Real
312,Jacklyn Fuente,OnePlus,OnePlus 5T,"Android 7.1.1, up to 10, OxygenOS 10.0.0",2017,0904-5315,"Donnelley Financial Solutions, Inc.",$6.09,$758.66M,8/16/2020,5020807603128453825,RUB,Ruble
313,Petrina Gricewood,Gigabyte,Gigabyte Barbie,Feature phone,2005,24236-584,"Revolution Lighting Technologies, Inc.",$5.84,$146.86M,11/9/2021,3541424402897880,PLN,Zloty
314,Cheslie D'Abbot-Doyle,BLU,BLU Studio 7.0 LTE,Android 5.1,2015,65162-812,"Flexion Therapeutics, Inc.",$8.06,$546.87M,6/7/2022,3537977994304314,CNY,Yuan Renminbi
315,Raina Pauel,HTC,HTC One (M8) dual sim,"Android 4.4.2, up to 4.4.4, Sense UI 6",2014,63868-144,Merus N.V.,$2.81,$276.34M,10/27/2020,6334704351473450,CNY,Yuan Renminbi
316,Nancie Valance,Acer,Acer beTouch T500,Android-based OPhone 1.5,2010,60512-1031,"AmTrust Financial Services, Inc.",$0.50,$2.76B,8/11/2021,4026069389807675,ZAR,Rand
317,Anabella Habron,Gionee,Gionee S6s,"Android 6.0, up to 7.0, Amigo 3.2",2016,68788-9138,"Safeguard Scientifics, Inc.",$5.37,$228.02M,7/19/2023,3561050154289318,IDR,Rupiah
318,Jonell Creggan,Motorola,Motorola Moto E4 Plus (USA),Android 7.1,2017,59279-530,"ONEOK Partners, L.P.",$1.92,$14.31B,12/29/2021,4844288954968189,NGN,Naira
319,Kinsley Robbins,Huawei,Huawei MediaPad T1 8.0,"Android 4.3, EMUI 1.6",2014,49349-937,ABM Industries Incorporated,$4.20,$2.33B,7/2/2023,3537658045066298,CNY,Yuan Renminbi
320,Foss Huc,Huawei,Huawei Y5 Prime (2018),"Android 8.1, EMUI 8",2018,66116-223,Artisan Partners Asset Management Inc.,$8.60,$2.24B,8/12/2021,3556769700000757,EUR,Euro
321,Ardelia Kleyn,Amazon,Amazon Fire HDX 8.9 (2014),"Android 4.4, Fire 4",2014,53942-871,"Dynex Capital, Inc.",$9.36,$354.27M,5/23/2021,3529627891466183,PHP,Peso
322,Geoff Beazer,Lava,Lava V2 s,Android 5.1.1,2016,51523-004,PartnerRe Ltd.,$4.05,n/a,1/4/2024,5354686324249744,BRL,Real
323,Micaela Hedan,Huawei,Huawei Ascend Y540,Android 4.4,2015,0268-6108,EchoStar Corporation,$0.92,$5.8B,8/30/2020,4041598026700035,IDR,Rupiah
324,Barthel Eckhard,QMobile,QMobile Power3,Feature phone,2015,65841-667,"AMTEK, Inc.",$5.75,$14.34B,7/26/2020,4041374635646328,MXN,Peso
325,Flo Burden,Realme,Realme X2 Pro,"Android 9.0, up to Android 11, Realme UI 2.0",2019,36987-2713,Dawson Geophysical Company,$6.58,$88.03M,5/12/2022,5602216457926643,VND,Dong
326,Thaxter Gullane,Modu,Modu Phone,Feature phone,2009,12546-115,"Affiliated Managers Group, Inc.",$7.34,$9.3B,8/11/2022,4917487376114735,EUR,Euro
327,Fremont Charlin,BLU,BLU Zoey,Feature phone,2013,62191-009,Nuveen Select Tax Free Income Portfolio II,$6.43,$246.04M,10/4/2020,3577531446195068,SEK,Krona
328,Marillin Danis,XOLO,XOLO Black 1X,"Android 5.1, up to 6.0, HIVE Atlas UI",2015,67877-225,Aramark,$0.91,$9.97B,8/10/2023,372301959964836,ARS,Peso
329,Violette Dyas,Micromax,Micromax Canvas Spark 4G Q4201,Android 6.0,2016,63629-3786,Noah Holdings Ltd.,$5.07,$1.51B,11/16/2023,4009821332852,EUR,Euro
330,Louella Coulthard,Philips,Philips Xenium K600,Feature phone,2010,54458-916,Luminex Corporation,$4.40,$911.47M,12/19/2020,4917004495903946,PEN,Sol
331,Lombard Plumptre,Micromax,Micromax Bolt A35,Android 2.3,2013,0615-7569,"Duff & Phelps Utilities Tax-Free Income, Inc.",$2.86,$125.91M,7/17/2023,3585202555374494,CNY,Yuan Renminbi
332,Broderick Bucktrout,Nokia,Nokia E61,"Symbian OS 9.1, Series 60 UI",2005,68462-332,"ProPhase Labs, Inc.",$2.00,$32.94M,6/30/2022,6385158734966516,PHP,Peso
333,Sophey Spybey,Sony,Sony Ericsson Xperia Arc,"Android 2.3, up to 4.0",2011,58232-0755,Huntington Bancshares Incorporated,$5.31,n/a,3/28/2024,5018855255466321679,EUR,Euro
334,Terrill Rosenblath,Oppo,Oppo Neo 3,Android 4.2.1,2014,0603-6345,Vanda Pharmaceuticals Inc.,$8.69,$612.59M,5/26/2021,3569846888627729,CNY,Yuan Renminbi
335,Robyn Oswal,alcatel,alcatel 3T 8,Android 8.1,2018,98132-2131,"Altimmune, Inc.",$1.52,$2.44M,6/8/2021,3560516190941634,USD,Dollar
336,Miran Alejo,LG,LG GW820 eXpo,Microsoft Windows Mobile 6.5 Professional,2009,52125-212,Vodafone Group Plc,$0.49,$76.73B,1/3/2024,3542525774356468,MYR,Ringgit
337,Averil Wyldbore,Amoi,Amoi H801,Feature phone,2006,55301-527,"Monarch Casino & Resort, Inc.",$4.66,$531.09M,7/3/2021,3571211972947663,EUR,Euro
338,Jody Swyne,Allview,Allview X4 Soul Infinity N,Android 7.0,2017,52343-063,Astrazeneca PLC,$7.80,$87.46B,5/16/2020,67098576569578645,IDR,Rupiah
339,Natasha Axelbee,Philips,Philips X116,Feature phone,2010,59011-445,"MOCON, Inc.",$6.93,$176.6M,10/28/2020,3544346089351906,RUB,Ruble
340,Marlie Kyston,Philips,Philips Xenium X830,Feature phone,2009,0187-0146,PowerShares Global Gold & Precious Metals Portfolio,$8.05,$36.8M,1/26/2024,5428072229235876,UAH,Hryvnia
341,Ernest Lackey,T-Mobile,T-Mobile Comet,Android 2.2,2010,60505-0565,Assured Guaranty Ltd.,$4.87,n/a,9/15/2022,3573893162516867,HTG,Gourde
342,Brenden Shave,Ulefone,Ulefone Note 8,Android 10,2020,55319-153,Bright Horizons Family Solutions Inc.,$4.40,$4.61B,3/13/2020,6383404312210931,BAM,Marka
343,Nate Rothwell,Huawei,Huawei U5510,Feature phone,2011,13925-114,"Vectrus, Inc.",$7.35,$340.82M,7/20/2023,5602253334605553,CNY,Yuan Renminbi
344,Barbette Liptrod,T-Mobile,T-Mobile Wing,Microsoft Windows Mobile 6 Professional,2006,34690-6001,"AquaBounty Technologies, Inc.",$7.34,$69.92M,10/15/2021,4913985086540838,CNY,Yuan Renminbi
345,Osmond Forgan,Samsung,Samsung S5611,Feature phone,2014,68788-9852,Cumulus Media Inc.,$9.73,$14.07M,1/26/2024,5602227336752825920,ALL,Lek
346,Halie Hay,Samsung,Samsung Galaxy Tab 3 Lite 7.0 VE,Android 4.4.4,2015,16590-339,Glen Burnie Bancorp,$0.81,$30.69M,3/12/2024,3545456056005309,PHP,Peso
347,Mohandis Dreng,Sagem,Sagem my220x,Feature phone,2008,63824-478,"Mohawk Industries, Inc.",$0.71,$17.98B,12/30/2023,3564017638535688,RUB,Ruble
348,Kaila Parell,Lava,Lava Z60s,Android 8.1 Oreo,2018,37000-366,OGE Energy Corporation,$9.74,$7.28B,12/18/2023,4508594823955571,CUP,Peso
349,Thebault O'Luby,Plum,Plum Sync 4.0b,Android 4.4,2015,48433-328,Glu Mobile Inc.,$8.40,$332.81M,3/3/2021,6377858123485222,IDR,Rupiah
350,Barbabas Pietzke,Celkon,Celkon A9,Feature phone,2012,0615-4519,"Home Depot, Inc. (The)",$2.33,$187.27B,10/26/2023,6304381094070467,CNY,Yuan Renminbi
351,Merissa Donovin,alcatel,alcatel Pixi 3 (5.5),Android 5.0,2015,21695-598,Walt Disney Company (The),$3.62,$165.11B,10/2/2021,490503982158432819,BAM,Marka
352,Natassia Eslinger,Samsung,Samsung i500,Palm 5.2,0,61715-131,Waters Corporation,$4.44,$14.74B,2/7/2020,3572660401061117,HTG,Gourde
353,Barbee Paprotny,Siemens,Siemens CXT65,Feature phone,2004,68387-208,"Group 1 Automotive, Inc.",$7.58,$1.28B,8/29/2023,3557981180257190,CZK,Koruna
354,Courtnay Shakshaft,Samsung,Samsung Galaxy J7 Pro,"Android 7.0, up to Android 9.0, One UI",2017,59779-704,"Maiden Holdings, Ltd.",$7.81,$982.38M,5/25/2023,5436710672176689,IRR,Rial
355,Noe Bumpus,Samsung,Samsung J750,Feature phone,2008,0074-3165,"American National Bankshares, Inc.",$0.94,$330M,10/3/2020,30485864927626,KZT,Tenge
356,Kandace Pinson,Samsung,Samsung Galaxy M01s,"Android 9.0, up to Android 10, One UI 2.1",2020,49349-367,"Colony NorthStar, Inc.",$0.22,n/a,8/15/2023,3541063367154984,PHP,Peso
357,Neall Ablewhite,Gionee,Gionee Elife S Plus,"Android 5.1.1, Amigo OS 3.1",2015,42508-150,Murphy Oil Corporation,$7.01,$4.38B,1/19/2020,30110097616081,HNL,Lempira
358,Hobie Weal,BLU,BLU Grand 5.5 HD II,Android 7.0,2017,63304-588,BlackRock New York Investment Quality Municipal Trust Inc. (Th,$8.84,$191.02M,4/2/2023,3563170523300071,RUB,Ruble
359,Amber Couser,Honor,Honor 9,"Android 7.0, up to Android 9.0, EMUI 9.1",2017,0615-1376,"Amicus Therapeutics, Inc.",$5.16,$1.35B,3/20/2020,3534755928809191,CNY,Yuan Renminbi
360,Paige Tanguy,vivo,vivo V11 (V11 Pro),"Android 8.1, up to Android 9.0, Funtouch 6.1",2018,65862-224,Jacobs Engineering Group Inc.,$8.50,$6.48B,4/20/2021,3553790916952576,BRL,Real
361,Odie Carlet,vivo,vivo S5,"Android 9.0, Funtouch 9.2",2019,13811-646,Teva Pharmaceutical Industries Limited,$3.16,$31.41B,2/11/2023,3576386381344408,CNY,Yuan Renminbi
362,Vikki Buxcy,Samsung,Samsung E2252,Feature phone,2012,49852-166,Smart,$2.78,$666.23M,1/16/2021,4405091060685759,CZK,Koruna
363,Cornie Nuttall,ZTE,ZTE Quartz,Android Wear OS 2.1,2017,0003-6337,Pacific Drilling S.A.,$8.06,$37.67M,3/8/2021,5602215219899304,CNY,Yuan Renminbi
364,Annadiane Leheude,Lenovo,Lenovo IdeaTab S6000,Android 4.2.2,2013,68084-497,1st Source Corporation,$1.42,$1.27B,8/3/2021,5602227132062498,IDR,Rupiah
365,Natalina Tommasetti,Huawei,Huawei MatePad Pro 10.8 5G (2019),"Android 10, EMUI 10, no Google Play Services",2020,54868-4242,Nuveen AMT-Free Municipal Value Fund,$8.04,$2.09B,10/19/2020,3530887605546657,IDR,Rupiah
366,Amity Prys,Huawei,Huawei nova 4,"Android 9.0, EMUI 9",2018,13811-630,"Community Bank System, Inc.",$8.31,$2.89B,3/7/2022,3531071087457480,CNY,Yuan Renminbi
367,Fernande Cockill,ZTE,ZTE nubia Red Magic Mars,"Android 9.0, Redmagic 1.0",2018,0268-0815,"Nike, Inc.",$2.43,$84.35B,4/17/2022,4026582767903437,USD,Dollar
368,Lucita Booth,Samsung,Samsung Galaxy A20e,"Android 9.0, up to Android 10, One UI 2.0",2019,0955-1046,Wells Fargo & Company,$8.33,n/a,11/25/2023,3575403362801438,UAH,Hryvnia
369,Annora Belward,Samsung,Samsung T509,Feature phone,2006,67510-1501,Nuveen Massachusetts Municipal Income Fund,$1.36,$128.91M,10/30/2022,56106144741666938,BRL,Real
370,Lebbie O' Cloney,Sony,Sony Ericsson Z555,Feature phone,2008,54569-0117,"Merrill Lynch & Co., Inc.",$6.27,n/a,3/29/2021,201454810777934,CNY,Yuan Renminbi
371,Tedi Hetterich,ZTE,ZTE Blade L3 Plus,Android 4.4.2,2015,59579-002,Barington/Hilco Acquisition Corp.,$8.11,n/a,11/8/2022,3539119512949597,EUR,Euro
372,Farrel Kinneir,i-mate,i-mate Ultimate 7150,Microsoft Windows Mobile 6.0 Professional,0,24236-123,"Chegg, Inc.",$0.21,$1.1B,10/1/2020,564182130161043948,GMD,Dalasi
373,Robert Peachman,WND,WND Wind DUO 2300,Feature phone,0,43063-088,"LightPath Technologies, Inc.",$1.27,$64.15M,6/28/2020,5546941954568593,IDR,Rupiah
374,Wolfy Paike,Samsung,Samsung Galaxy Mini S5570,"Android 2.2, up to 2.3, TouchWiz UI 3",2011,55319-299,iSectors Post-MPT Growth ETF,$2.81,$11.34M,7/12/2021,5048374741282752,IDR,Rupiah
375,Trenna Hurche,NEC,NEC N21i,Feature phone,2002,54868-5995,The Community Financial Corporation,$0.95,$181.04M,1/20/2023,3548377390262603,ZAR,Rand
376,Edmund Balazot,Lava,Lava X50 Plus,"Android 5.1, up to 6.0",2016,29300-118,Timken Steel Corporation,$0.30,$575.53M,10/4/2021,201712236257934,NPR,Rupee
377,Dominga Forth,Samsung,Samsung E100,Feature phone,2003,16110-260,Eagle Point Credit Company Inc.,$8.93,n/a,5/29/2022,374283065716771,PEN,Sol
378,Gray Truett,Huawei,Huawei U5510,Feature phone,2011,0573-2868,"Sequential Brands Group, Inc.",$6.23,$237.5M,4/29/2021,3582321776246142,BRL,Real
379,Haley Metham,LG,LG KF311,Feature phone,2009,63629-1622,"The Herzfeld Caribbean Basin Fund, Inc.",$0.11,$43.73M,9/27/2022,201663026099129,EUR,Euro
380,Abbe Lazare,LG,LG GW910,Microsoft Windows Phone 7,2011,52125-351,Vident Core US Equity ETF,$6.75,$448.4M,6/6/2023,5610325812059360,PKR,Rupee
381,Malissia Eates,Samsung,Samsung i560,"Symbian OS 9.1, Series 60 v3.1 UI",2008,0781-3182,"GTx, Inc.",$8.78,$73.95M,6/3/2020,6334948441795386,SEK,Krona
382,Bertie Musgrave,BLU,BLU C6,Android 8.1 Oreo,2018,10424-155,Modern Media Acquisition Corp.,$1.71,n/a,8/15/2022,3583173252726694,CNY,Yuan Renminbi
383,Hazel Fawks,Micromax,Micromax A240 Canvas Doodle 2,Android 4.2.1,2013,56062-709,Teva Pharmaceutical Industries Limited,$6.19,$31.41B,9/23/2020,5602210685472900,PLN,Zloty
384,Horatius Padefield,Celkon,Celkon A99,Android 2.3.5,2012,63629-3337,"Bay Bancorp, Inc.",$4.02,$75.03M,1/29/2020,377743515339869,DOP,Peso
385,Chester Guise,Xiaomi,Xiaomi Redmi 2 Prime,"Android 4.4.4, up to 5.1.1, MIUI 7.2",2015,48433-347,"Popular, Inc.",$4.20,$294.48M,8/18/2021,4903020978798388157,IDR,Rupiah
386,Amargo Blackett,Celkon,Celkon C349+,Feature phone,2014,0904-5256,TiVo Corporation,$1.01,$2.25B,5/11/2023,5100175146290257,IDR,Rupiah
387,Kathryn Cardo,Honor,Honor X10 5G,"Android 10, Magic UI 3.1",2020,0187-5475,MEDIFAST INC,$5.70,$505.59M,11/11/2020,201469920319310,RUB,Ruble
388,Hobie Guiel,Coolpad,Coolpad Note 3,Android 5.1,2015,62670-4823,"Omega Flex, Inc.",$2.51,$652.54M,6/12/2021,3576064748003948,EUR,Euro
389,Lula Guinn,Tecno,Tecno Spark 4 Lite,"Android 9.0, HIOS 5.5",2019,36987-2441,Chemours Company (The),$0.80,$6.77B,6/24/2022,564182350270933652,LYD,Dinar
390,Hardy Dobson,Gigabyte,Gigabyte g-Cam,Feature phone,2005,11528-095,Voya Asia Pacific High Dividend Equity Income Fund,$4.50,$126.72M,12/1/2023,5010121055576624,CNY,Yuan Renminbi
391,Veradis Girardot,Energizer,Energizer Hardcase H240S,Android 6.0,2018,21695-091,Cabot Corporation,$1.50,$3.38B,10/11/2023,3536736129284135,IDR,Rupiah
392,Cosimo Valente,Micromax,Micromax GC400,Feature phone,2010,42254-122,"Top Image Systems, Ltd.",$7.94,$22.92M,1/26/2023,3565693343344373,IDR,Rupiah
393,Lek Grinishin,Samsung,Samsung Ch@t 350,Feature phone,2011,53045-112,"Baldwin & Lyons, Inc.",$9.04,$375.34M,11/28/2023,3529014403420182,PHP,Peso
394,Derrek Fontin,verykool,verykool RS90,Android 4.0,2013,0013-8303,"Hallmark Financial Services, Inc.",$1.98,$208.13M,5/24/2021,3561204996200732,VEF,Bolivar
395,Ernestine Doud,LG,LG KF305,Feature phone,2010,59623-003,Criteo S.A.,$7.92,$3.04B,5/12/2021,3572086123014806,TND,Dinar
396,Ashlee Mayne,verykool,verykool sl5009 Jet,Android 5.1,2015,43353-798,Chevron Corporation,$3.49,$205.28B,8/6/2020,30145825622548,USD,Dollar
397,Courtnay Anderer,Sony,Sony Ericsson T715,Feature phone,2009,0220-9341,Datawatch Corporation,$7.11,$96.2M,2/12/2023,3554307351648517,IDR,Rupiah
398,Reagan Weed,Prestigio,Prestigio MultiPad 7.0 Ultra,Android 4.0,2013,21695-150,Citigroup Inc.,$7.11,n/a,5/24/2021,56022338601806060,CLP,Peso
399,Petr Roobottom,Samsung,Samsung D730,"Symbian, Series 60 UI",2005,67510-0070,"Orion Energy Systems, Inc.",$6.31,$38.19M,6/28/2023,6304287260391068,KZT,Tenge
400,Evonne Batter,Celkon,Celkon A22,Android 4.0.4,2012,63824-283,Vanguard Russell 2000 Growth ETF,$7.10,$184.64M,4/4/2023,3535862030726377,RUB,Ruble
401,Gertrude Goghin,Sony,Sony Xperia E3 Dual,"Android 4.4.2, up to Android 4.4.4",2014,47335-938,V.F. Corporation,$5.93,$22.56B,6/5/2023,5100136347919284,EUR,Euro
402,Chester Chumley,BlackBerry,BlackBerry 8700c,BlackBerry OS,2004,21130-013,Adecoagro S.A.,$4.29,$1.21B,6/5/2023,5100132604737196,MXN,Peso
403,Betti Cripin,LG,LG KU950,Feature phone,2007,0093-8164,E.I. du Pont de Nemours and Company,$2.79,n/a,11/22/2021,3543243088098581,KRW,Won
404,Margalo Beevis,Allview,Allview V2 Viper i,Android 5.1,2015,49288-0479,"ChinaNet Online Holdings, Inc.",$5.10,$15.58M,6/7/2022,676153603891807094,DKK,Krone
405,Araldo Leveret,Honor,Honor 8X Max,"Android 8.1, up to Android 9, EMUI 9",2018,0206-2416,Western Asset/Claymore U.S Treasury Inflation Prot Secs Fd 2,$1.28,$675.47M,2/8/2021,201452903648780,IDR,Rupiah
406,Jonah Lackham,Icemobile,Icemobile Fuego,Feature phone,2012,41250-630,Lehman ABS Corporation,$1.89,n/a,8/19/2023,374283710122466,CNY,Yuan Renminbi
407,Philomena Puvia,Gionee,Gionee Gpad G5,Android 4.4.2,2014,36987-1046,Nordic American Offshore Ltd,$4.81,$73.14M,1/30/2022,3572314427853277,CNY,Yuan Renminbi
408,Fleur Burgess,Micromax,Micromax A57 Ninja 3.0,Android 2.3.5,2012,43419-004,Booz Allen Hamilton Holding Corporation,$3.29,$4.72B,6/14/2023,3587532805274427,VND,Dong
409,Abran Krelle,LG,LG T315,Feature phone,2011,58118-1396,"M/I Homes, Inc.",$0.17,$681.36M,9/24/2020,560223647089467718,MRO,Ouguiya
410,Kane Gentle,Nokia,Nokia 6800,Feature phone,2003,50458-389,Gol Linhas Aereas Inteligentes S.A.,$4.96,$6.06B,5/20/2023,3536446087005650,IDR,Rupiah
411,Haleigh Challes,alcatel,alcatel 1, Android 8.1 Oreo,2018,65841-747,"Medical Transcription Billing, Corp.",$2.74,$7.52M,6/29/2020,5002357905494135,EUR,Euro
412,Jacinda Preedy,Motorola,Motorola XT760,Android 2.3,2012,65044-9998,"GTY Technology Holdings, Inc.",$8.37,$707.25M,7/20/2020,5602217120433124,RSD,Dinar
413,Anica Belleny,alcatel,alcatel Pop D3,Android 4.4.2,2014,59672-0532,Invesco Quality Municipal Income Trust,$2.91,$672.68M,6/1/2022,6333601663947541782,IDR,Rupiah
414,Alonso Bullman,Philips,Philips W8500,Android 4.1,2013,60505-3578,Arbor Realty Trust,$8.99,n/a,4/15/2023,633110659546786276,RUB,Ruble
415,Elissa Royal,Samsung,Samsung Galaxy C7 (2017),Android 7.1,2017,0074-3779,"Fortune Brands Home & Security, Inc.",$2.26,$9.9B,11/2/2022,3566927871269803,USD,Dollar
416,Ettie Mongan,Huawei,Huawei P40 Pro+,"Android 10, EMUI 10.1",2020,55312-096,"AMAG Pharmaceuticals, Inc.",$7.00,$574.74M,5/25/2020,4936924416918334,RUB,Ruble
417,Gibbie Paulon,LG,LG W30,Android 9.0,2019,0904-5666,ZIOPHARM Oncology Inc,$5.31,$763.03M,4/28/2022,5452979556704275,CNY,Yuan Renminbi
418,Northrup Coote,Nokia,Nokia 130 Dual SIM,Feature phone,2014,54799-535,Arlington Asset Investment Corp,$6.49,$352.64M,12/14/2020,50208754354578939,EUR,Euro
419,Crosby Spurriar,Sharp,Sharp TM100,Feature phone,2004,43063-030,iShares MSCI EM ESG Optimized ETF,$3.04,$54.38M,9/20/2021,6706537780684300481,CNY,Yuan Renminbi
420,Ysabel Boulton,Allview,Allview P9 Energy Lite,Android 6.0,2016,65954-770,Quaker Chemical Corporation,$3.90,$1.92B,3/20/2021,3570436523460897,IDR,Rupiah
421,Rica Askie,ZTE,ZTE Blade A910,Android 6.0,2016,52125-774,"Intrepid Potash, Inc",$5.64,$281.36M,4/30/2021,3532821258932359,CNY,Yuan Renminbi
422,Brittani Preskett,verykool,verykool s5528 Cosmo,Android 7.0,2017,42291-707,iShares GNMA Bond ETF,$1.48,$174.89M,1/18/2021,3552813072929955,GHS,Cedi
423,Lowell Mabee,Motorola,Motorola Motosmart Flip XT611,Android 2.3,2012,63481-812,LPL Financial Holdings Inc.,$0.69,$3.74B,1/9/2021,6709452168399702859,RUB,Ruble
424,Diann Elacoate,Sony,Sony Ericsson Xperia X1,Microsoft Windows Mobile 6.1 Professional,2008,68428-048,Gol Linhas Aereas Inteligentes S.A.,$8.55,$6.06B,2/13/2023,3587560544631979,SEK,Krona
425,Janna Royal,vivo,"vivo Y51 (2020, December)","Android 11, Funtouch 11",2020,25373-006,"Colony NorthStar, Inc.",$3.41,n/a,6/4/2021,3537649307112060,RUB,Ruble
426,Gian Myrick,Nokia,Nokia N85,"Symbian OS 9.3, S60 rel. 3.2",2008,50865-640,RiceBran Technologies,$8.05,n/a,8/31/2021,30400038554586,IDR,Rupiah
427,Jules Redgrave,LG,LG Nexus 5X,"Android 6.0, up to Android 8.0",2015,0591-0862,"I.D. Systems, Inc.",$5.74,$87.7M,6/8/2020,6334099810347542350,EUR,Euro
428,Burg Langhorne,ZTE,ZTE Blade Force,Android 7.1.1,2017,0113-0096,Citigroup Inc.,$6.56,n/a,12/29/2021,5602230424390486,THB,Baht
429,Dilly Pocknoll,Energizer,Energizer Energy E20,Feature phone,2017,0173-0740,Intuit Inc.,$3.65,$35.74B,4/19/2022,560225645843221254,EUR,Euro
430,Joane Simko,Meizu,Meizu E2,"Android 7, Flyme 6",2017,76439-307,"MVC Capital, Inc.",$1.18,$219.02M,5/13/2020,3568975036898154,CNY,Yuan Renminbi
431,Jocelin Jellico,Panasonic,Panasonic Eluga Ray X,Android 6.0,2017,35000-846,General Electric Capital Corporation,$0.06,n/a,1/9/2023,201429991336809,EUR,Euro
432,Pier Callister,LG,LG U8120,Feature phone,2004,52345-3001,ChinaCache International Holdings Ltd.,$4.53,$34.01M,7/29/2020,4905024202360275,PEN,Sol
433,Haleigh Joska,Siemens,Siemens C35i,Feature phone,2000,66336-907,Vipshop Holdings Limited,$3.02,$6.96B,3/4/2022,30274743263647,IDR,Rupiah
434,Claudina Logg,Allview,Allview Viva Q8,"Android 4.2, up to 4.4.2",2013,49738-975,"Wilhelmina International, Inc.",$9.93,$38.75M,5/8/2022,3557542964172433,EUR,Euro
435,Torey Ruzicka,Meizu,Meizu 16s Pro,"Android 9.0, Flyme 8",2019,68258-6095,Bridgford Foods Corporation,$2.06,$130.25M,6/18/2021,3536465339201107,MXN,Peso
436,Arleta Lammerich,BlackBerry,BlackBerry Aurora,Android 7.0,2017,64942-1231,Novanta Inc.,$4.12,$1.25B,9/20/2021,3533881418287275,ETB,Birr
437,Stanly Walch,Samsung,Samsung Galaxy J,"Android 4.3, up to 5.0",2013,55316-156,Government Properties Income Trust,$4.51,n/a,10/14/2021,3543379012307571,CNY,Yuan Renminbi
438,Deb Whitely,Yezz,Yezz Andy 5M LTE,Android 5.1,2016,21695-815,Nano Dimension Ltd.,$4.97,$60.98M,5/26/2022,5243575807564130,EUR,Euro
439,Barbee Bruce,Samsung,Samsung C170,Feature phone,2007,58668-4001,Telefonica SA,$1.35,$54.41B,12/15/2022,3546420500519181,ARS,Peso
440,Katerine Obee,Asus,Asus Zenfone 6 A600CG (2014),"Android 4.3, up to 5.0.2",2014,98132-702,CyberOptics Corporation,$1.12,$153.44M,2/29/2024,30509175333602,PEN,Sol
441,Brit Outridge,Samsung,Samsung Galaxy J6+,"Android 8.1, up to Android 9.0, One UI",2018,33261-335,"PNC Financial Services Group, Inc. (The)",$0.49,n/a,5/15/2020,3536712484993354,IDR,Rupiah
